Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8530-III,36105023908234,tn613yb0635,https://purl.stanford.edu/tn613yb0635,Fujian sheng
4540802,G7823 .F8 S50 .C51 8530-IV,36105023908242,xm411tj7787,https://purl.stanford.edu/xm411tj7787,Fujian sheng
4540802,G7823 .F8 S50 .C51 8531-I,36105023908259,md738vk4646,https://purl.stanford.edu/md738vk4646,Fujian sheng
4540802,G7823 .F8 S50 .C51 8531-II,36105023908267,tj884qc3663,https://purl.stanford.edu/tj884qc3663,Fujian sheng
4540802,G7823 .F8 S50 .C51 8531-III,36105023908390,pn226cp2348,https://purl.stanford.edu/pn226cp2348,Fujian sheng
4540802,G7823 .F8 S50 .C51 8531-IV,36105023908408,qs704dv9046,https://purl.stanford.edu/qs704dv9046,Fujian sheng
4540802,G7823 .F8 S50 .C51 8532-I,36105024048808,zc488fg7965,https://purl.stanford.edu/zc488fg7965,Fujian sheng
4540802,G7823 .F8 S50 .C51 8532-II,36105024048733,jc327hy4342,https://purl.stanford.edu/jc327hy4342,Fujian sheng
4540802,G7823 .F8 S50 .C51 8532-III,36105024048741,st789bz1179,https://purl.stanford.edu/st789bz1179,Fujian sheng
4540802,G7823 .F8 S50 .C51 8532-IV,36105024048758,bg122vj7629,https://purl.stanford.edu/bg122vj7629,Fujian sheng
4540802,G7823 .F8 S50 .C51 8627-III,36105118392658,gf970rh9780,https://purl.stanford.edu/gf970rh9780,Fujian sheng
4540802,G7823 .F8 S50 .C51 8627-IV,36105024048766,xv505gn9238,https://purl.stanford.edu/xv505gn9238,Fujian sheng
4540802,G7823 .F8 S50 .C51 8628-I,36105024049129,qs100dk7178,https://purl.stanford.edu/qs100dk7178,Fujian sheng
4540802,G7823 .F8 S50 .C51 8628-II,36105023908796,dd543yq9198,https://purl.stanford.edu/dd543yq9198,Fujian sheng
4540802,G7823 .F8 S50 .C51 8628-III,36105023908804,bp687fw7892,https://purl.stanford.edu/bp687fw7892,Fujian sheng
