Ckey,Call_Num,Druid,Purl,Label,Symph_Bar
10425346,G7960 S200 .J3 SHEET 1-1,jk748pz2835,https://purl.stanford.edu/jk748pz2835,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 1-2,kw270zg5344,https://purl.stanford.edu/kw270zg5344,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 2-1,vt838dc3028,https://purl.stanford.edu/vt838dc3028,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 2-2,gw611cf3184,https://purl.stanford.edu/gw611cf3184,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 3-3,gz468zn9548,https://purl.stanford.edu/gz468zn9548,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 3-4,pc260fq9200,https://purl.stanford.edu/pc260fq9200,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 4-5,dh567rj5568,https://purl.stanford.edu/dh567rj5568,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 5-6,kp117ts8151,https://purl.stanford.edu/kp117ts8151,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 5.6-7,ky370jj2016,https://purl.stanford.edu/ky370jj2016,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 9-9,gs240kx8134,https://purl.stanford.edu/gs240kx8134,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 9-10,cb131kd8736,https://purl.stanford.edu/cb131kd8736,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
