Call_Num,Druid,Purl,Title,Sym_Bar,Ckey
G7960 S50 .K61 NH-52-1-15,ws561yn9597,https://purl.stanford.edu/ws561yn9597,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-1-16,gv306vh3285,https://purl.stanford.edu/gv306vh3285,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-1,gw986xh2826,https://purl.stanford.edu/gw986xh2826,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-2,hj587qb2191,https://purl.stanford.edu/hj587qb2191,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-3,bd076tc0298,https://purl.stanford.edu/bd076tc0298,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-4,gd795yk1227,https://purl.stanford.edu/gd795yk1227,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-5,qp456gj4008,https://purl.stanford.edu/qp456gj4008,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-6,nh479mb0291,https://purl.stanford.edu/nh479mb0291,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-7,xb080fh8320,https://purl.stanford.edu/xb080fh8320,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-8,vs313hw6981,https://purl.stanford.edu/vs313hw6981,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-9,vb946jq6084,https://purl.stanford.edu/vb946jq6084,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-10,bs445zj3498,https://purl.stanford.edu/bs445zj3498,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-11,vt648fk3015,https://purl.stanford.edu/vt648fk3015,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-12,cb449nn6254,https://purl.stanford.edu/cb449nn6254,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-13,xw039np9324,https://purl.stanford.edu/xw039np9324,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-14,cs737tb1378,https://purl.stanford.edu/cs737tb1378,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-7-16,vg035sz9311,https://purl.stanford.edu/vg035sz9311,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-1 EAST,rr692vw9381,https://purl.stanford.edu/rr692vw9381,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-1,yk015sg2155,https://purl.stanford.edu/yk015sg2155,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-2,pc939sb4521,https://purl.stanford.edu/pc939sb4521,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-4 EAST,cz212fz0454,https://purl.stanford.edu/cz212fz0454,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-4,hq532pz2291,https://purl.stanford.edu/hq532pz2291,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-5,fc613fr0605,https://purl.stanford.edu/fc613fr0605,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-6,zy137xp9883,https://purl.stanford.edu/zy137xp9883,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-9,yf232wp9182,https://purl.stanford.edu/yf232wp9182,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NH-52-8-13,vy146qm4988,https://purl.stanford.edu/vy146qm4988,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
