Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G7910 S25 .J3 C-9,vn392vd2672,https://purl.stanford.edu/vn392vd2672,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654440,10716764
G7910 S25 .J3 C-9 PROV.,rz734gk3423,https://purl.stanford.edu/rz734gk3423,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654457,10716764
G7910 S25 .J3 C-10,np508xt5263,https://purl.stanford.edu/np508xt5263,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654465,10716764
G7910 S25 .J3 C-10 PROV.,tj201yb1494,https://purl.stanford.edu/tj201yb1494,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654473,10716764
G7910 S25 .J3 C-11 PROV.,xn526yr3053,https://purl.stanford.edu/xn526yr3053,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654481,10716764
G7910 S25 .J3 C-12 PROV.,qn745xj0950,https://purl.stanford.edu/qn745xj0950,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654499,10716764
G7910 S25 .J3 C-13,xz358jx5999,https://purl.stanford.edu/xz358jx5999,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654507,10716764
G7910 S25 .J3 C-13 PROV.,pt384pz5287,https://purl.stanford.edu/pt384pz5287,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654515,10716764
G7910 S25 .J3 C-14,vg212sn0994,https://purl.stanford.edu/vg212sn0994,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654523,10716764
G7910 S25 .J3 C-14 PROV.,bd585dr7166,https://purl.stanford.edu/bd585dr7166,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654531,10716764
G7910 S25 .J3 C-15,xp469qs1269,https://purl.stanford.edu/xp469qs1269,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654549,10716764
G7910 S25 .J3 C-15 PROV.,nb280zk2614,https://purl.stanford.edu/nb280zk2614,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654556,10716764
G7910 S25 .J3 C-16 PROV.,xw982vz2367,https://purl.stanford.edu/xw982vz2367,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654564,10716764
G7910 S25 .J3 C-17,rz855fm0440,https://purl.stanford.edu/rz855fm0440,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654572,10716764
G7910 S25 .J3 C-17 PROV.,ys544zj5604,https://purl.stanford.edu/ys544zj5604,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654580,10716764
G7910 S25 .J3 C-18,nq919pz1207,https://purl.stanford.edu/nq919pz1207,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654598,10716764
G7910 S25 .J3 C-18 PROV.,hy108ns5777,https://purl.stanford.edu/hy108ns5777,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655207,10716764
G7910 S25 .J3 C-19 PROV.,rt320zn2831,https://purl.stanford.edu/rt320zn2831,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655215,10716764
G7910 S25 .J3 C-20,hv460dt7046,https://purl.stanford.edu/hv460dt7046,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655231,10716764
G7910 S25 .J3 C-20 PROV.,cq386bz2480,https://purl.stanford.edu/cq386bz2480,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655223,10716764
G7910 S25 .J3 C-21 PROV.,pk585wz5419,https://purl.stanford.edu/pk585wz5419,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655249,10716764
G7910 S25 .J3 C-22 PROV.,yy143yr1667,https://purl.stanford.edu/yy143yr1667,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655256,10716764
G7910 S25 .J3 C-23 PROV.,jc463ck5388,https://purl.stanford.edu/jc463ck5388,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655264,10716764
G7910 S25 .J3 C-24 PROV.,fb222hc7620,https://purl.stanford.edu/fb222hc7620,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655272,10716764
G7910 S25 .J3 D-1 PROV.,wb253cr3656,https://purl.stanford.edu/wb253cr3656,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655280,10716764
G7910 S25 .J3 D-2,jf492rm8773,https://purl.stanford.edu/jf492rm8773,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655298,10716764
G7910 S25 .J3 D-2 PROV.,ry441bk7143,https://purl.stanford.edu/ry441bk7143,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655306,10716764
G7910 S25 .J3 D-3,ch334hp2844,https://purl.stanford.edu/ch334hp2844,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655314,10716764
G7910 S25 .J3 D-3 PROV.,yw024pp7844,https://purl.stanford.edu/yw024pp7844,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655322,10716764
G7910 S25 .J3 D-4 PROV.,sp953fb1233,https://purl.stanford.edu/sp953fb1233,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655330,10716764
G7910 S25 .J3 D-5 PROV.,pp867yx0343,https://purl.stanford.edu/pp867yx0343,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655348,10716764
G7910 S25 .J3 D-6,jq797mf7454,https://purl.stanford.edu/jq797mf7454,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655355,10716764
G7910 S25 .J3 D-6 PROV.,jh767dd9043,https://purl.stanford.edu/jh767dd9043,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655363,10716764
G7910 S25 .J3 D-7 PROV.,jw127kv7767,https://purl.stanford.edu/jw127kv7767,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655371,10716764
G7910 S25 .J3 D-8 PROV.,bk981yg8522,https://purl.stanford.edu/bk981yg8522,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655389,10716764
G7910 S25 .J3 D-9,nd706nm7472,https://purl.stanford.edu/nd706nm7472,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655397,10716764
G7910 S25 .J3 D-9 PROV.,tg768yf5279,https://purl.stanford.edu/tg768yf5279,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655405,10716764
G7910 S25 .J3 D-10,jn271kz1515,https://purl.stanford.edu/jn271kz1515,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655413,10716764
G7910 S25 .J3 D-10 PROV.,kz660ny5400,https://purl.stanford.edu/kz660ny5400,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655421,10716764
G7910 S25 .J3 D-11,sx316sv1798,https://purl.stanford.edu/sx316sv1798,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655439,10716764
G7910 S25 .J3 D-11 PROV.,qf562cy1467,https://purl.stanford.edu/qf562cy1467,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655447,10716764
G7910 S25 .J3 D-12 PROV.,xp454gw6549,https://purl.stanford.edu/xp454gw6549,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655454,10716764
G7910 S25 .J3 D-13 PROV.,zn538hn9332,https://purl.stanford.edu/zn538hn9332,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655462,10716764
G7910 S25 .J3 D-14,sw489vy7995,https://purl.stanford.edu/sw489vy7995,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655470,10716764
G7910 S25 .J3 D-14 PROV.,xc182wg0347,https://purl.stanford.edu/xc182wg0347,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655488,10716764
G7910 S25 .J3 D-15,qx050db0332,https://purl.stanford.edu/qx050db0332,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655496,10716764
G7910 S25 .J3 D-15 PROV.,kq847fw1245,https://purl.stanford.edu/kq847fw1245,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655504,10716764
G7910 S25 .J3 D-16 PROV.,qz900kq3503,https://purl.stanford.edu/qz900kq3503,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655512,10716764
G7910 S25 .J3 D-17 PROV.,mz211rn4601,https://purl.stanford.edu/mz211rn4601,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655520,10716764
G7910 S25 .J3 D-18 PROV.,cn980tc9409,https://purl.stanford.edu/cn980tc9409,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655538,10716764
G7910 S25 .J3 D-19 PROV.,nc441jq1454,https://purl.stanford.edu/nc441jq1454,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655546,10716764
G7910 S25 .J3 D-20 PROV.,kj424pw7145,https://purl.stanford.edu/kj424pw7145,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655553,10716764
G7910 S25 .J3 D-21 PROV.,tf538dg4063,https://purl.stanford.edu/tf538dg4063,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655561,10716764
G7910 S25 .J3 D-22 PROV.,pq151jw2891,https://purl.stanford.edu/pq151jw2891,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655579,10716764
G7910 S25 .J3 D-23,fb827px5219,https://purl.stanford.edu/fb827px5219,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655587,10716764
G7910 S25 .J3 D-23 PROV.,yc692qc5410,https://purl.stanford.edu/yc692qc5410,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655595,10716764
G7910 S25 .J3 E-1,js228tc3293,https://purl.stanford.edu/js228tc3293,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655603,10716764
G7910 S25 .J3 E-1 PROV.,zk280sr5708,https://purl.stanford.edu/zk280sr5708,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655611,10716764
G7910 S25 .J3 E-2,gz836zd1090,https://purl.stanford.edu/gz836zd1090,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655629,10716764
G7910 S25 .J3 E-2 PROV.,nm741xq5050,https://purl.stanford.edu/nm741xq5050,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655637,10716764
G7910 S25 .J3 E-3,kg942qm0780,https://purl.stanford.edu/kg942qm0780,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655645,10716764
G7910 S25 .J3 E-3 PROV.,jd762tk8112,https://purl.stanford.edu/jd762tk8112,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221655652,10716764
