Ckey,Call_Num,Druid,Purl,Title,Symph_Bar
9440325,G7824 .S2 A1 S25 .J3 SOUTH 8,pf044rp2879,https://purl.stanford.edu/pf044rp2879,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 9,kt984pb2340,https://purl.stanford.edu/kt984pb2340,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 10,qr777sp2868,https://purl.stanford.edu/qr777sp2868,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 11,vr561sf1493,https://purl.stanford.edu/vr561sf1493,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 12,gt329fr7251,https://purl.stanford.edu/gt329fr7251,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 12 C.2,zp779vt6208,https://purl.stanford.edu/zp779vt6208,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 13,qr521qy2149,https://purl.stanford.edu/qr521qy2149,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 14,tb436cx0578,https://purl.stanford.edu/tb436cx0578,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 15,wz044sv5459,https://purl.stanford.edu/wz044sv5459,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 16,qd221pd4110,https://purl.stanford.edu/qd221pd4110,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 17,dh910yv0685,https://purl.stanford.edu/dh910yv0685,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 18,bc580ck1055,https://purl.stanford.edu/bc580ck1055,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 19,zk347qm6015,https://purl.stanford.edu/zk347qm6015,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 20,fh987mr2999,https://purl.stanford.edu/fh987mr2999,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 21,tt648vd0886,https://purl.stanford.edu/tt648vd0886,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 22,fm783kc3914,https://purl.stanford.edu/fm783kc3914,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 23,yc123jc6171,https://purl.stanford.edu/yc123jc6171,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 24,zy736jd0727,https://purl.stanford.edu/zy736jd0727,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 25,qy585yf6457,https://purl.stanford.edu/qy585yf6457,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 26,jy520my7292,https://purl.stanford.edu/jy520my7292,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 27,xz233sq9179,https://purl.stanford.edu/xz233sq9179,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 28,by769rt3536,https://purl.stanford.edu/by769rt3536,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 29,jn005vr8667,https://purl.stanford.edu/jn005vr8667,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 30,nh863pb8748,https://purl.stanford.edu/nh863pb8748,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 31,rm192rf6805,https://purl.stanford.edu/rm192rf6805,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
